	Kingdom	Phylum	Class	Order	Family	Genus	Species
1c41d0ff16fceb3003bb08d100a98e87	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
9423cb020369e2925a7ed81370336f73	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	uncultured_Verrucomicrobia
a5037c7dd7c625642e602c71b2eb51b9	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	uncultured_bacterium
1dc4bcf89359756d230668396df77bb3	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	metagenome
bf1f3259c44e8a920bef3b0b426370ef	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified
c0ec01007e791d30819aa844d64ad2ae	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	Unclassified
f94e35f3a72a7eda2bd9cc0703494476	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema_medium
ef83e4df4a8912b859d5aeff1c499af3	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	uncultured_forest
f8a74be66da914549350a86cb3b9f6f8	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Unclassified
200e6dda59e9d3177f84589425772564	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	uncultured_bacterium
2600d6f83b2dfb2eb236d34a8060c835	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Unclassified
d4b95458518ba9e5a32f76c52f622089	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	Unclassified
23e7bb98a13540861c409331c4052a67	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified
d72f5fde5dffa7337c0fc0fae312102d	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	uncultured_bacterium
76a94706ca4de0cd7d47e504e34b0996	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
9da38b08a98a30c4ec4cd221d0888533	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_forest
94dfdf145fc3d87525a7850fbd0c0617	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium
95327d899161134c2bbfbe10b60a7863	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	Unclassified
17e562606dc747dd9f950ce27d3eb95a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unclassified
45b555b4a8af5ad63bcb0b776e11557f	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_bacterium
754c7015b5e475250b162c39adf05977	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified	Unclassified
51f7fabda2b08543df5b2891a2d078b0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	uncultured_bacterium
1610c57e03b7faf758aa7c9ddf7a0158	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured	uncultured	uncultured_bacterium
2150af335694753827adb41e778a1fde	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	uncultured	metagenome
9f36044185a80b9ec0ba0c44e450a473	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_soil
