trt.code,amf.status,treatment,date,growth.media,rep,arm.no,no.EPN,chem.index,total.recovered,avg.recovered
XX,non_mycorrhizal,uninfested,07.23.20,mix,9,5,149,0.323464912,304,50.66666667
XX,non_mycorrhizal,uninfested,07.23.20,mix,10,5,24,-0.145687646,1144,190.6666667
XX,non_mycorrhizal,uninfested,07.23.20,mix,11,5,70,0.154434251,218,36.33333333
XX,non_mycorrhizal,uninfested,07.23.20,mix,12,5,3014,0.777864828,3191,531.8333333
XX,non_mycorrhizal,uninfested,07.23.20,mix,13,5,3,-0.066666667,30,5
XX,non_mycorrhizal,uninfested,07.23.20,mix,14,5,93,0.280448718,208,34.66666667
XX,non_mycorrhizal,uninfested,08.02.20,mix,15,5,36,-0.097168597,518,86.33333333
XX,non_mycorrhizal,uninfested,08.02.20,mix,16,5,159,0.287619048,350,58.33333333
XX,non_mycorrhizal,uninfested,08.02.20,mix,17,5,35,0.163522013,106,17.66666667
XX,non_mycorrhizal,uninfested,08.02.20,mix,18,5,5,-0.151234568,324,54
XX,non_mycorrhizal,uninfested,08.02.20,mix,19,5,45,0.041666667,216,36
XX,non_mycorrhizal,uninfested,08.02.20,mix,20,5,21,-0.003875969,129,21.5
XX,non_mycorrhizal,uninfested,09.02.20,mix,21,5,54,-0.098138748,788,131.3333333
XX,non_mycorrhizal,uninfested,09.02.20,mix,22,5,4,-0.117886179,82,13.66666667
XX,non_mycorrhizal,uninfested,09.02.20,mix,23,5,27,-0.091666667,360,60
XX,non_mycorrhizal,uninfested,09.02.20,mix,24,5,18,-0.06884058,184,30.66666667
XX,non_mycorrhizal,uninfested,09.02.20,mix,25,5,0,-0.166666667,412,68.66666667
XX,non_mycorrhizal,uninfested,09.02.20,mix,26,5,3,-0.14057971,115,19.16666667
